,Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2020,2021,CD_code
60,BX 04,Highbridge/Concourse,Neighborhood Services and Conditions,Mean travel time to work (minutes),The mean commute time in minutes for commuters residing in the geographic area.,43.1,40.7,41.1,44.6,,,204
61,BX 04,Highbridge/Concourse,Neighborhood Services and Conditions,"Serious crime rate (per 1,000 residents)","The number of serious crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,15.6,13.8,15.6,16.4,18.0,204
62,BX 04,Highbridge/Concourse,Neighborhood Services and Conditions,"Serious crime rate, property (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,8.0,6.2,7.0,8.0,8.3,204
63,BX 04,Highbridge/Concourse,Neighborhood Services and Conditions,"Serious crime rate, violent (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,7.7,7.6,8.6,8.4,9.7,204
64,BX 04,Highbridge/Concourse,Neighborhood Services and Conditions,"Students performing at grade level in English language arts, 4th grade",The percentage of fourth-grade students performing at or above grade level in English language arts in 4th grade (termed 'proficient').,,,,36.9%,,,204
65,BX 04,Highbridge/Concourse,Neighborhood Services and Conditions,"Students performing at grade level in math, 4th grade",The percentage of fourth-grade students performing at or above grade level in math in 4th grade (termed 'proficient').,,,,36.5%,,,204
66,BX 04,Highbridge/Concourse,Renters,"Median rent, 2- and 3-bedrooms (2021$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,170","$1,260",,,204
67,BX 04,Highbridge/Concourse,Renters,"Median rent, all (2021$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",$960,"$1,050","$1,160","$1,230",,,204
68,BX 04,Highbridge/Concourse,Renters,"Median rent, recent movers (2021$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,190","$1,260",,,204
69,BX 04,Highbridge/Concourse,Renters,"Median rent, studios and 1-bedrooms (2021$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,030","$1,130",,,204
70,BX 04,Highbridge/Concourse,Renters,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,-3.0%,,204
71,BX 04,Highbridge/Concourse,Renters,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,13.1%,,,,204
72,BX 04,Highbridge/Concourse,Renters,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,93.2%,,,,204
73,BX 04,Highbridge/Concourse,Renters,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,100.0%,,,,204
74,BX 04,Highbridge/Concourse,Renters,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,23.3%,28.4%,23.6%,,,204
75,BX 04,Highbridge/Concourse,Renters,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,29.5%,27.5%,,,204
76,BX 04,Highbridge/Concourse,Renters,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,0.8%,2.1%,,,204
77,BX 04,Highbridge/Concourse,Renters,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,31.9%,,35.8%,38.5%,,,204
78,BX 04,Highbridge/Concourse,Renters,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,43.3%,43.9%,,,204
79,BX 04,Highbridge/Concourse,Renters,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,0.0%,0.7%,,,204
80,BX 04,Highbridge/Concourse,Renters,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,15.3%,13.1%,12.6%,,204
81,BX 04,Highbridge/Concourse,Renters,Public housing (% of rental units),The share of all rental units located in New York City Housing Authority public housing.,,,,,,2.8%,204
82,BX 04,Highbridge/Concourse,Housing Market and Conditions,Total number of subsidized properties (properties),"Total number of subsidized properties (includes federal programs, Mitchell-Lama, NYC Housing Production Programs and Zoning Incentives or Requirements, and New York State Property Tax Incentives, except 421-a and J-51)",,,,,,512,204
83,BX 04,Highbridge/Concourse,Housing Market and Conditions,HUD Financing or Insurance (properties),Total number of properties receiving a benefit from a HUD Financing or Insurance Program,,,,,,14,204
84,BX 04,Highbridge/Concourse,Housing Market and Conditions,HUD Financing or Insurance (units),Total number of units in properties receiving a benefit from a HUD Financing or Insurance Program (all affordable),,,,,,901,204
85,BX 04,Highbridge/Concourse,Housing Market and Conditions,HUD Project-based Rental Assistance Program (properties),Total number of properties receiving a benefit from a HUD Project-based Rental Assistance Program,,,,,,43,204
86,BX 04,Highbridge/Concourse,Housing Market and Conditions,HUD Project-based Rental Assistance Program (units),Total number of units in properties receiving a benefit from a HUD Project-based Rental Assistance Program (includes both affordable and market rate units),,,,,,"3,101",204
87,BX 04,Highbridge/Concourse,Housing Market and Conditions,Low Income Housing Tax Credit (properties),Total number of properties receiving a benefit from the Low Income Housing Tax Credit,,,,,,134,204
88,BX 04,Highbridge/Concourse,Housing Market and Conditions,Low Income Housing Tax Credit (units),Total number of units in properties receiving a benefit from the Low Income Housing Tax Credit (includes both affordable and market rate units),,,,,,"7,075",204
89,BX 04,Highbridge/Concourse,Housing Market and Conditions,Public Housing (properties),Total number of public housing properties (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,26,204
90,BX 04,Highbridge/Concourse,Housing Market and Conditions,Public Housing (units),Total number of public housing units (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,"1,428",204
91,BX 04,Highbridge/Concourse,Housing Market and Conditions,Mitchell-Lama (properties),Total number of properties receiving a benefit from the Mitchell-Lama program,,,,,,2,204
92,BX 04,Highbridge/Concourse,Housing Market and Conditions,Mitchell-Lama (units),Total number of units in properties receiving a benefit from the Mitchell-Lama program (all affordable),,,,,,"1,163",204
93,BX 04,Highbridge/Concourse,Housing Market and Conditions,421-a Tax Exemption (properties),Total number of properties using a 421-a tax emption (includes properties with only market rate units),,,,,,46,204
94,BX 04,Highbridge/Concourse,Housing Market and Conditions,421-a Tax Exemption (units),Total number of units in properties using a 421-a tax emption (includes both affordable and market rate units),,,,,,"2,247",204
95,BX 04,Highbridge/Concourse,Housing Market and Conditions,420-c Tax Exemption (properties),Total number of properties using a 420-c tax emption,,,,,,74,204
96,BX 04,Highbridge/Concourse,Housing Market and Conditions,420-c Tax Exemption (units),Total number of units in properties using a 420-c tax emption (all affordable),,,,,,"4,028",204
97,BX 04,Highbridge/Concourse,Housing Market and Conditions,NYC Housing Production Programs and Zoning Incentives or Requirements (properties),"Total number of properties that entered a New York City housing production program or zoning incentive or requirement between July 1,  2003 and December 31, 2017",,,,,,207,204
98,BX 04,Highbridge/Concourse,Housing Market and Conditions,Eligible to expire from housing programs between 2022 and 2027 (properties),"Total number of properties eligible to expire between 2021 and 2025 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,21,204
99,BX 04,Highbridge/Concourse,Housing Market and Conditions,Eligible to expire from housing programs between 2022 and 2027 (units),"Total number of units in properties eligible to expire between 2021 and 2025 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,"1,160",204
100,BX 04,Highbridge/Concourse,Housing Market and Conditions,Eligible to expire from housing programs between 2028 and 2037 (properties),"Total number of properties eligible to expire between 2026 and 2035 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,52,204
101,BX 04,Highbridge/Concourse,Housing Market and Conditions,Eligible to expire from housing programs between 2028 and 2037 (units),"Total number of units in properties eligible to expire between 2026 and 2035 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,"3,725",204
102,BX 04,Highbridge/Concourse,Housing Market and Conditions,Eligible to expire from housing programs in 2038 and later (properties),"Total number of properties eligible to expire in 2036 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,65,204
103,BX 04,Highbridge/Concourse,Housing Market and Conditions,Eligible to expire from housing programs in 2038 and later (units),"Total number of units in properties eligible to expire in 2036 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,"2,986",204
0,BX 05,Fordham/University Heights,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,49.6%,47.9%,45.7%,,,205
1,BX 05,Fordham/University Heights,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,16.8%,14.8%,,,205
2,BX 05,Fordham/University Heights,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,34.8%,38.9%,38.8%,43.2%,,,205
3,BX 05,Fordham/University Heights,Demographics,Population,"All people, both children and adults, living in a given geographic area.","133,890","133,858","135,266","138,209",,,205
4,BX 05,Fordham/University Heights,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,5.0%,4.9%,5.1%,9.2%,,,205
5,BX 05,Fordham/University Heights,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,55.4%,51.9%,50.1%,39.7%,,,205
6,BX 05,Fordham/University Heights,Demographics,Single-person households,The share of households that include only one person.,,24.9%,26.3%,29.8%,,,205
7,BX 05,Fordham/University Heights,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,1.6%,1.9%,0.3%,2.2%,,,205
8,BX 05,Fordham/University Heights,Demographics,Percent Black,The percentage of the total population that identifies as black (non-Hispanic).,32.5%,28.9%,29.2%,26.8%,,,205
9,BX 05,Fordham/University Heights,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,61.7%,66.9%,67.4%,67.7%,,,205
10,BX 05,Fordham/University Heights,Demographics,Percent white,The percentage of the total population that identifies as white (non-Hispanic).,1.4%,0.8%,1.5%,1.7%,,,205
11,BX 05,Fordham/University Heights,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.51,0.47,0.46,0.47,,,205
12,BX 05,Fordham/University Heights,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,5.7,5.0,6.8,,,205
13,BX 05,Fordham/University Heights,Demographics,Median household income (2021$),The median household's total income of all members of the household aged 15 years or older.,"$35,440","$26,970","$31,130","$33,650",,,205
14,BX 05,Fordham/University Heights,Demographics,"Median household income, homeowners (2021$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$71,580","$91,910","$66,410",,,205
15,BX 05,Fordham/University Heights,Demographics,"Median household income, renters (2021$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$25,790","$30,110","$33,280",,,205
16,BX 05,Fordham/University Heights,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,40.6%,41.6%,40.0%,31.4%,,,205
17,BX 05,Fordham/University Heights,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,41.7%,23.2%,41.4%,,,205
18,BX 05,Fordham/University Heights,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,55.1%,52.5%,37.2%,,,205
19,BX 05,Fordham/University Heights,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,61.0%,63.7%,59.1%,,,205
20,BX 05,Fordham/University Heights,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,38.4%,36.8%,31.0%,,,205
21,BX 05,Fordham/University Heights,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",19.89%,15.18%,23.53%,11.58%,,,205
22,BX 05,Fordham/University Heights,Housing Market and Conditions,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,4.8%,4.0%,3.1%,4.0%,,,205
23,BX 05,Fordham/University Heights,Housing Market and Conditions,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"45,809","47,358","47,934",,,205
24,BX 05,Fordham/University Heights,Housing Market and Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,3.3%,1.4%,,,205
25,BX 05,Fordham/University Heights,Housing Market and Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,198.8,132.7,219.8,145.9,173.5,205
26,BX 05,Fordham/University Heights,Housing Market and Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,6.3%,7.4%,,,205
27,BX 05,Fordham/University Heights,Housing Market and Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,981.9,631.3,696.8,421.8,581.2,205
28,BX 05,Fordham/University Heights,Housing Market and Conditions,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",21.2,31.7,39.7,13.8,3.2,8.4,205
29,BX 05,Fordham/University Heights,Housing Market and Conditions,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,38,56,79,25,7,16,205
30,BX 05,Fordham/University Heights,Housing Market and Conditions,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,28,43,44,12,4,7,205
31,BX 05,Fordham/University Heights,Housing Market and Conditions,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,5,8,21,10,1,6,205
32,BX 05,Fordham/University Heights,Housing Market and Conditions,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,69.8,51.8,42.2,205
33,BX 05,Fordham/University Heights,Housing Market and Conditions,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,112,81,66,205
34,BX 05,Fordham/University Heights,Housing Market and Conditions,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,6,0,4,,,,205
35,BX 05,Fordham/University Heights,Housing Market and Conditions,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,3.0%,90.6%,50.0%,50.0%,,205
36,BX 05,Fordham/University Heights,Housing Market and Conditions,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,63.0%,0.0%,30.6%,18.4%,,205
37,BX 05,Fordham/University Heights,Housing Market and Conditions,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,52.3%,16.7%,0.0%,0.0%,,205
38,BX 05,Fordham/University Heights,Housing Market and Conditions,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",,46.4,10.5,11.9,12.7,,205
39,BX 05,Fordham/University Heights,Housing Market and Conditions,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",,99.3%,9.4%,100.0%,100.0%,,205
40,BX 05,Fordham/University Heights,Housing Market and Conditions,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",,4.7%,100.0%,11.1%,10.5%,,205
41,BX 05,Fordham/University Heights,Housing Market and Conditions,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",,66.4,7.9,10.6,19.7,,205
42,BX 05,Fordham/University Heights,Housing Market and Conditions,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,12,23,5,8,8,5,205
43,BX 05,Fordham/University Heights,Housing Market and Conditions,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,53,120,36,49,36,43,205
44,BX 05,Fordham/University Heights,Housing Market and Conditions,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,22,46,26,5,9,17,205
45,BX 05,Fordham/University Heights,Housing Market and Conditions,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,0,0,0,0,0,0,205
46,BX 05,Fordham/University Heights,Housing Market and Conditions,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,87,189,67,62,53,65,205
47,BX 05,Fordham/University Heights,Housing Market and Conditions,"Median sales price per unit, 1 family building (2021$)",The median price per unit for one unit buildings.,,"$483,420","$379,480","$551,690","$515,030","$575,000",205
48,BX 05,Fordham/University Heights,Housing Market and Conditions,"Median sales price per unit, 2-4 family building (2021$)",The median price per unit for two- to four-unit buildings.,,"$290,380","$209,640","$301,060","$326,740","$325,000",205
49,BX 05,Fordham/University Heights,Housing Market and Conditions,"Median sales price per unit, 5+ family building (2021$)",The median price per unit for multifamily buildings.,,"$95,850","$77,890","$180,370","$152,330","$137,500",205
50,BX 05,Fordham/University Heights,Housing Market and Conditions,"Median sales price per unit, condominium (2021$)",The median price per unit for condominiums.,,,,,,,205
51,BX 05,Fordham/University Heights,Housing Market and Conditions,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,227.2,146.7,372.8,374.8,427.6,205
52,BX 05,Fordham/University Heights,Housing Market and Conditions,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,203.3,150.2,239.8,260.9,340.3,205
53,BX 05,Fordham/University Heights,Housing Market and Conditions,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,259.1,199.4,634.0,454.0,484.1,205
54,BX 05,Fordham/University Heights,Housing Market and Conditions,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,,,,,,,205
55,BX 05,Fordham/University Heights,Housing Market and Conditions,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,218.6,160.7,312.7,344.5,404.6,205
56,BX 05,Fordham/University Heights,Land Use and Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,,88.6,89.6,91.5,,,205
57,BX 05,Fordham/University Heights,Land Use and Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,130,3,132,523,577,,205
58,BX 05,Fordham/University Heights,Land Use and Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,54,264,295,185,304,,205
59,BX 05,Fordham/University Heights,Neighborhood Services and Conditions,Car-free commute (% of commuters),"The percentage of workers who commute primarily by foot, bicycle, or public transportation, as a share of all workers over the age of 16 who do not work at home.",72.9%,73.7%,77.0%,83.1%,,,205
60,BX 05,Fordham/University Heights,Neighborhood Services and Conditions,Mean travel time to work (minutes),The mean commute time in minutes for commuters residing in the geographic area.,43.9,41.0,41.5,48.1,,,205
61,BX 05,Fordham/University Heights,Neighborhood Services and Conditions,"Serious crime rate (per 1,000 residents)","The number of serious crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,15.5,12.0,13.5,15.9,14.8,205
62,BX 05,Fordham/University Heights,Neighborhood Services and Conditions,"Serious crime rate, property (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,7.4,5.2,5.9,8.4,7.2,205
63,BX 05,Fordham/University Heights,Neighborhood Services and Conditions,"Serious crime rate, violent (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,8.1,6.8,7.6,7.5,7.6,205
64,BX 05,Fordham/University Heights,Neighborhood Services and Conditions,"Students performing at grade level in English language arts, 4th grade",The percentage of fourth-grade students performing at or above grade level in English language arts in 4th grade (termed 'proficient').,,,,33.5%,,,205
65,BX 05,Fordham/University Heights,Neighborhood Services and Conditions,"Students performing at grade level in math, 4th grade",The percentage of fourth-grade students performing at or above grade level in math in 4th grade (termed 'proficient').,,,,27.1%,,,205
66,BX 05,Fordham/University Heights,Renters,"Median rent, 2- and 3-bedrooms (2021$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,200","$1,250",,,205
67,BX 05,Fordham/University Heights,Renters,"Median rent, all (2021$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",$990,"$1,090","$1,210","$1,290",,,205
68,BX 05,Fordham/University Heights,Renters,"Median rent, recent movers (2021$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,250","$1,470",,,205
69,BX 05,Fordham/University Heights,Renters,"Median rent, studios and 1-bedrooms (2021$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,060","$1,160",,,205
70,BX 05,Fordham/University Heights,Renters,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,-2.9%,,205
71,BX 05,Fordham/University Heights,Renters,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,14.0%,13.7%,,,205
72,BX 05,Fordham/University Heights,Renters,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,81.7%,92.9%,,,205
73,BX 05,Fordham/University Heights,Renters,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,97.8%,100.0%,,,205
74,BX 05,Fordham/University Heights,Renters,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,21.7%,24.7%,26.7%,,,205
75,BX 05,Fordham/University Heights,Renters,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,27.9%,27.5%,,,205
76,BX 05,Fordham/University Heights,Renters,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,3.4%,4.4%,,,205
77,BX 05,Fordham/University Heights,Renters,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,33.4%,,35.6%,38.8%,,,205
78,BX 05,Fordham/University Heights,Renters,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,42.9%,45.4%,,,205
79,BX 05,Fordham/University Heights,Renters,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,0.0%,0.0%,,,205
80,BX 05,Fordham/University Heights,Renters,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,19.2%,19.6%,18.9%,,205
81,BX 05,Fordham/University Heights,Renters,Public housing (% of rental units),The share of all rental units located in New York City Housing Authority public housing.,,,,,,3.0%,205
82,BX 05,Fordham/University Heights,Housing Market and Conditions,Total number of subsidized properties (properties),"Total number of subsidized properties (includes federal programs, Mitchell-Lama, NYC Housing Production Programs and Zoning Incentives or Requirements, and New York State Property Tax Incentives, except 421-a and J-51)",,,,,,410,205
83,BX 05,Fordham/University Heights,Housing Market and Conditions,HUD Financing or Insurance (properties),Total number of properties receiving a benefit from a HUD Financing or Insurance Program,,,,,,6,205
84,BX 05,Fordham/University Heights,Housing Market and Conditions,HUD Financing or Insurance (units),Total number of units in properties receiving a benefit from a HUD Financing or Insurance Program (all affordable),,,,,,523,205
85,BX 05,Fordham/University Heights,Housing Market and Conditions,HUD Project-based Rental Assistance Program (properties),Total number of properties receiving a benefit from a HUD Project-based Rental Assistance Program,,,,,,26,205
86,BX 05,Fordham/University Heights,Housing Market and Conditions,HUD Project-based Rental Assistance Program (units),Total number of units in properties receiving a benefit from a HUD Project-based Rental Assistance Program (includes both affordable and market rate units),,,,,,"1,999",205
87,BX 05,Fordham/University Heights,Housing Market and Conditions,Low Income Housing Tax Credit (properties),Total number of properties receiving a benefit from the Low Income Housing Tax Credit,,,,,,105,205
88,BX 05,Fordham/University Heights,Housing Market and Conditions,Low Income Housing Tax Credit (units),Total number of units in properties receiving a benefit from the Low Income Housing Tax Credit (includes both affordable and market rate units),,,,,,"7,473",205
89,BX 05,Fordham/University Heights,Housing Market and Conditions,Public Housing (properties),Total number of public housing properties (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,11,205
90,BX 05,Fordham/University Heights,Housing Market and Conditions,Public Housing (units),Total number of public housing units (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,"6,073",205
91,BX 05,Fordham/University Heights,Housing Market and Conditions,Mitchell-Lama (properties),Total number of properties receiving a benefit from the Mitchell-Lama program,,,,,,7,205
92,BX 05,Fordham/University Heights,Housing Market and Conditions,Mitchell-Lama (units),Total number of units in properties receiving a benefit from the Mitchell-Lama program (all affordable),,,,,,"2,537",205
